trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.444 ± 6.721,4.658 ± 4.285,7.156 ± 6.495,5.107 ± 4.593,5.697 ± 4.929
BMI,JAPONICA,6.339 ± 5.937,4.229 ± 3.936,4.542 ± 3.866,4.374 ± 4.045,4.901 ± 4.236
BMI,UKB_WCSG,7.196 ± 6.703,3.361 ± 2.959,6.019 ± 5.391,3.077 ± 2.942,4.205 ± 3.639
BMI,CYTOSNP,4.328 ± 4.262,2.905 ± 2.571,4.331 ± 3.826,3.599 ± 3.449,4.072 ± 3.540
BMI,PMRA,6.383 ± 6.222,4.045 ± 3.615,6.291 ± 5.857,4.806 ± 4.194,5.516 ± 5.146
BMI,PMDA,6.082 ± 5.685,3.763 ± 3.218,6.067 ± 5.530,4.378 ± 4.045,4.887 ± 4.155
BMI,OMNI2.5,2.544 ± 2.481,1.994 ± 1.745,2.870 ± 2.370,1.968 ± 1.890,2.274 ± 2.052
BMI,OMNI5,2.041 ± 1.912,1.355 ± 1.179,2.049 ± 1.834,1.281 ± 1.280,1.618 ± 1.441
BMI,LPS_0.5,4.901 ± 4.721,4.012 ± 3.706,5.615 ± 5.037,4.265 ± 4.054,4.756 ± 4.176
BMI,LPS_0.75,4.035 ± 3.967,3.481 ± 3.164,5.270 ± 4.721,3.648 ± 3.195,4.144 ± 3.656
BMI,LPS_1.0,3.653 ± 3.453,2.750 ± 2.672,4.657 ± 4.024,3.261 ± 3.016,3.658 ± 3.210
BMI,LPS_1.25,3.500 ± 3.174,2.829 ± 2.497,4.110 ± 3.812,3.136 ± 2.978,3.203 ± 2.908
BMI,LPS_1.5,3.178 ± 3.030,2.537 ± 2.330,3.637 ± 3.151,2.732 ± 2.536,3.180 ± 2.790
BMI,LPS_2.0,2.756 ± 2.561,2.335 ± 2.271,3.382 ± 2.905,2.354 ± 2.105,2.804 ± 2.412
DIABETES,GSA,7.440 ± 6.979,4.300 ± 3.759,7.583 ± 6.828,4.795 ± 4.541,5.544 ± 5.203
DIABETES,JAPONICA,6.464 ± 6.270,3.311 ± 2.951,4.325 ± 4.347,3.985 ± 3.460,4.620 ± 4.155
DIABETES,UKB_WCSG,6.799 ± 6.650,3.128 ± 2.637,6.286 ± 5.637,3.189 ± 2.979,4.479 ± 4.254
DIABETES,CYTOSNP,4.532 ± 4.402,2.377 ± 2.078,4.364 ± 3.896,2.797 ± 2.458,3.706 ± 3.419
DIABETES,PMRA,6.223 ± 5.856,3.800 ± 3.366,6.467 ± 5.876,4.169 ± 3.740,5.314 ± 4.919
DIABETES,PMDA,5.832 ± 5.668,3.323 ± 3.024,6.386 ± 5.726,3.476 ± 3.220,4.950 ± 4.668
DIABETES,OMNI2.5,2.662 ± 2.347,1.573 ± 1.448,2.940 ± 2.563,1.732 ± 1.588,2.413 ± 2.174
DIABETES,OMNI5,2.383 ± 2.248,1.229 ± 1.166,2.378 ± 2.180,1.302 ± 1.256,1.967 ± 1.858
DIABETES,LPS_0.5,4.580 ± 4.436,3.453 ± 2.836,5.771 ± 5.135,3.958 ± 3.557,4.426 ± 4.247
DIABETES,LPS_0.75,4.002 ± 3.777,3.119 ± 2.823,4.770 ± 4.188,3.241 ± 2.771,4.135 ± 3.874
DIABETES,LPS_1.0,3.526 ± 3.307,2.393 ± 2.279,4.274 ± 4.049,2.942 ± 2.864,3.445 ± 3.201
DIABETES,LPS_1.25,3.338 ± 3.265,2.444 ± 2.134,3.914 ± 3.502,2.677 ± 2.261,3.010 ± 2.822
DIABETES,LPS_1.5,3.266 ± 3.240,1.978 ± 1.950,3.629 ± 3.250,2.567 ± 2.343,3.144 ± 2.938
DIABETES,LPS_2.0,2.698 ± 2.544,2.021 ± 1.826,3.228 ± 2.920,2.239 ± 2.006,2.760 ± 2.583
HEIGHT,GSA,7.639 ± 6.802,4.024 ± 3.630,5.952 ± 5.233,3.688 ± 3.342,5.759 ± 5.077
HEIGHT,JAPONICA,6.483 ± 5.759,3.770 ± 3.584,4.056 ± 3.597,3.205 ± 2.879,4.501 ± 4.573
HEIGHT,UKB_WCSG,6.776 ± 6.017,2.924 ± 2.667,4.808 ± 4.290,2.207 ± 1.961,3.986 ± 3.690
HEIGHT,CYTOSNP,4.447 ± 4.069,2.981 ± 2.764,3.536 ± 3.220,2.340 ± 2.246,3.584 ± 3.456
HEIGHT,PMRA,6.329 ± 6.047,3.885 ± 3.710,5.036 ± 4.243,3.244 ± 2.877,4.753 ± 4.615
HEIGHT,PMDA,5.789 ± 4.944,3.620 ± 3.525,5.508 ± 5.089,2.856 ± 2.706,4.569 ± 4.351
HEIGHT,OMNI2.5,2.460 ± 2.246,1.830 ± 1.682,2.329 ± 1.930,1.415 ± 1.289,2.228 ± 2.137
HEIGHT,OMNI5,2.001 ± 1.866,1.217 ± 1.156,1.795 ± 1.661,0.972 ± 0.920,1.562 ± 1.437
HEIGHT,LPS_0.5,4.913 ± 4.529,3.510 ± 3.148,5.206 ± 4.948,3.060 ± 2.743,4.719 ± 4.286
HEIGHT,LPS_0.75,4.327 ± 4.075,3.215 ± 2.955,4.397 ± 3.882,2.894 ± 2.542,4.001 ± 3.838
HEIGHT,LPS_1.0,3.794 ± 3.549,2.762 ± 2.439,4.191 ± 3.652,2.399 ± 2.185,3.525 ± 3.182
HEIGHT,LPS_1.25,3.737 ± 3.332,2.805 ± 2.680,3.673 ± 3.316,2.253 ± 1.958,3.262 ± 3.310
HEIGHT,LPS_1.5,3.559 ± 3.316,2.457 ± 2.263,3.336 ± 3.019,1.987 ± 1.845,3.159 ± 2.919
HEIGHT,LPS_2.0,3.044 ± 2.741,2.269 ± 2.127,3.196 ± 2.817,1.957 ± 1.804,2.879 ± 2.638
METABOLIC,GSA,7.599 ± 6.769,4.156 ± 3.730,7.074 ± 6.270,4.318 ± 3.962,5.828 ± 5.151
METABOLIC,JAPONICA,6.168 ± 5.740,3.462 ± 3.282,4.240 ± 4.017,4.281 ± 3.863,4.696 ± 4.155
METABOLIC,UKB_WCSG,7.247 ± 6.807,2.952 ± 2.839,6.096 ± 5.153,2.937 ± 2.769,3.949 ± 3.493
METABOLIC,CYTOSNP,4.222 ± 3.856,2.525 ± 2.205,4.119 ± 3.611,2.994 ± 2.820,3.600 ± 3.128
METABOLIC,PMRA,5.963 ± 5.423,4.055 ± 3.684,6.393 ± 5.473,3.974 ± 3.524,5.030 ± 4.638
METABOLIC,PMDA,5.468 ± 4.899,3.332 ± 3.157,6.177 ± 5.653,3.794 ± 3.683,4.711 ± 4.066
METABOLIC,OMNI2.5,2.464 ± 2.344,1.801 ± 1.699,2.686 ± 2.569,1.926 ± 1.852,2.319 ± 2.102
