Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.400 ± 0.074,0.644 ± 0.070,0.480 ± 0.056,0.663 ± 0.062,0.478 ± 0.059
JAPONICA,0.522 ± 0.067,0.656 ± 0.061,0.563 ± 0.059,0.568 ± 0.062,0.508 ± 0.055
UKB_WCSG,0.466 ± 0.047,0.727 ± 0.048,0.448 ± 0.045,0.758 ± 0.056,0.570 ± 0.043
CYTOSNP,0.674 ± 0.069,0.714 ± 0.054,0.488 ± 0.050,0.608 ± 0.058,0.549 ± 0.052
PMRA,0.662 ± 0.047,0.722 ± 0.046,0.557 ± 0.049,0.632 ± 0.056,0.525 ± 0.043
PMDA,0.714 ± 0.037,0.771 ± 0.031,0.498 ± 0.043,0.682 ± 0.040,0.564 ± 0.039
OMNI2.5,0.836 ± 0.054,0.811 ± 0.047,0.581 ± 0.050,0.733 ± 0.057,0.659 ± 0.048
OMNI5,0.861 ± 0.049,0.870 ± 0.041,0.618 ± 0.048,0.866 ± 0.050,0.734 ± 0.047
LPS_0.5,0.852 ± 0.066,0.811 ± 0.060,0.598 ± 0.064,0.732 ± 0.069,0.690 ± 0.062
LPS_0.75,0.877 ± 0.063,0.839 ± 0.059,0.653 ± 0.066,0.777 ± 0.068,0.740 ± 0.061
LPS_1.0,0.892 ± 0.061,0.857 ± 0.058,0.699 ± 0.066,0.812 ± 0.066,0.778 ± 0.059
LPS_1.25,0.900 ± 0.059,0.871 ± 0.056,0.735 ± 0.064,0.834 ± 0.063,0.805 ± 0.057
LPS_1.5,0.907 ± 0.056,0.880 ± 0.054,0.763 ± 0.063,0.850 ± 0.059,0.825 ± 0.055
LPS_2.0,0.917 ± 0.049,0.893 ± 0.049,0.804 ± 0.058,0.872 ± 0.054,0.852 ± 0.050
