Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.953 ± 0.007,0.983 ± 0.004,0.958 ± 0.011,0.979 ± 0.005,0.973 ± 0.008
JAPONICA,0.964 ± 0.005,0.987 ± 0.004,0.983 ± 0.004,0.984 ± 0.004,0.981 ± 0.005
UKB_WCSG,0.961 ± 0.006,0.990 ± 0.001,0.971 ± 0.007,0.992 ± 0.001,0.985 ± 0.003
CYTOSNP,0.984 ± 0.003,0.993 ± 0.002,0.983 ± 0.006,0.991 ± 0.004,0.988 ± 0.005
PMRA,0.967 ± 0.007,0.986 ± 0.002,0.967 ± 0.009,0.984 ± 0.005,0.976 ± 0.006
PMDA,0.969 ± 0.004,0.988 ± 0.003,0.968 ± 0.006,0.987 ± 0.004,0.978 ± 0.004
OMNI2.5,0.995 ± 0.001,0.997 ± 0.001,0.994 ± 0.002,0.997 ± 0.001,0.996 ± 0.001
OMNI5,0.997 ± 0.000,0.998 ± 0.000,0.996 ± 0.001,0.999 ± 0.000,0.998 ± 0.000
LPS_0.5,0.983 ± 0.004,0.989 ± 0.003,0.973 ± 0.008,0.986 ± 0.005,0.982 ± 0.006
LPS_0.75,0.987 ± 0.003,0.991 ± 0.003,0.977 ± 0.009,0.990 ± 0.003,0.986 ± 0.005
LPS_1.0,0.990 ± 0.002,0.994 ± 0.001,0.983 ± 0.005,0.992 ± 0.002,0.990 ± 0.003
LPS_1.25,0.991 ± 0.002,0.995 ± 0.002,0.986 ± 0.004,0.993 ± 0.002,0.991 ± 0.003
LPS_1.5,0.992 ± 0.001,0.995 ± 0.001,0.989 ± 0.004,0.995 ± 0.002,0.992 ± 0.003
LPS_2.0,0.994 ± 0.001,0.996 ± 0.001,0.991 ± 0.003,0.996 ± 0.001,0.994 ± 0.002
