Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.683 ± 0.056,0.781 ± 0.048,0.646 ± 0.057,0.782 ± 0.052,0.677 ± 0.052
JAPONICA,0.736 ± 0.048,0.788 ± 0.043,0.711 ± 0.054,0.738 ± 0.050,0.700 ± 0.048
UKB_WCSG,0.720 ± 0.040,0.820 ± 0.038,0.630 ± 0.047,0.830 ± 0.047,0.734 ± 0.040
CYTOSNP,0.797 ± 0.048,0.816 ± 0.043,0.653 ± 0.052,0.759 ± 0.051,0.720 ± 0.046
PMRA,0.797 ± 0.039,0.817 ± 0.038,0.699 ± 0.050,0.766 ± 0.049,0.703 ± 0.042
PMDA,0.818 ± 0.030,0.842 ± 0.028,0.656 ± 0.037,0.798 ± 0.033,0.729 ± 0.032
OMNI2.5,0.872 ± 0.042,0.868 ± 0.039,0.726 ± 0.050,0.826 ± 0.049,0.787 ± 0.043
OMNI5,0.887 ± 0.040,0.900 ± 0.036,0.754 ± 0.047,0.894 ± 0.043,0.828 ± 0.040
LPS_0.5,0.881 ± 0.045,0.869 ± 0.044,0.763 ± 0.051,0.829 ± 0.049,0.812 ± 0.044
LPS_0.75,0.894 ± 0.045,0.883 ± 0.043,0.791 ± 0.050,0.849 ± 0.049,0.834 ± 0.043
LPS_1.0,0.904 ± 0.044,0.893 ± 0.042,0.813 ± 0.050,0.864 ± 0.047,0.851 ± 0.042
LPS_1.25,0.910 ± 0.042,0.900 ± 0.040,0.829 ± 0.048,0.874 ± 0.046,0.863 ± 0.041
LPS_1.5,0.915 ± 0.041,0.906 ± 0.039,0.840 ± 0.047,0.881 ± 0.045,0.871 ± 0.040
LPS_2.0,0.922 ± 0.040,0.913 ± 0.037,0.857 ± 0.045,0.892 ± 0.044,0.884 ± 0.038
