Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.697 ± 0.078,0.893 ± 0.044,0.834 ± 0.051,0.882 ± 0.047,0.853 ± 0.052
JAPONICA,0.782 ± 0.058,0.930 ± 0.030,0.928 ± 0.030,0.917 ± 0.029,0.912 ± 0.034
UKB_WCSG,0.764 ± 0.045,0.943 ± 0.026,0.886 ± 0.030,0.952 ± 0.024,0.922 ± 0.030
CYTOSNP,0.881 ± 0.048,0.929 ± 0.033,0.897 ± 0.039,0.926 ± 0.031,0.911 ± 0.039
PMRA,0.872 ± 0.034,0.929 ± 0.029,0.898 ± 0.032,0.924 ± 0.028,0.902 ± 0.032
PMDA,0.907 ± 0.023,0.945 ± 0.018,0.892 ± 0.023,0.943 ± 0.018,0.918 ± 0.023
OMNI2.5,0.946 ± 0.030,0.954 ± 0.027,0.937 ± 0.029,0.956 ± 0.025,0.948 ± 0.030
OMNI5,0.956 ± 0.026,0.965 ± 0.024,0.949 ± 0.026,0.968 ± 0.022,0.960 ± 0.026
LPS_0.5,0.935 ± 0.052,0.938 ± 0.053,0.908 ± 0.055,0.935 ± 0.052,0.924 ± 0.056
LPS_0.75,0.943 ± 0.051,0.946 ± 0.053,0.924 ± 0.054,0.944 ± 0.052,0.936 ± 0.055
LPS_1.0,0.948 ± 0.050,0.950 ± 0.052,0.934 ± 0.053,0.950 ± 0.051,0.943 ± 0.054
LPS_1.25,0.951 ± 0.049,0.954 ± 0.050,0.940 ± 0.051,0.953 ± 0.049,0.947 ± 0.052
LPS_1.5,0.953 ± 0.047,0.957 ± 0.047,0.947 ± 0.044,0.957 ± 0.045,0.951 ± 0.048
LPS_2.0,0.960 ± 0.036,0.964 ± 0.037,0.955 ± 0.038,0.964 ± 0.036,0.960 ± 0.038
