Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.763 ± 0.047,0.863 ± 0.037,0.816 ± 0.042,0.870 ± 0.038,0.823 ± 0.040
JAPONICA,0.806 ± 0.038,0.882 ± 0.030,0.873 ± 0.032,0.873 ± 0.031,0.853 ± 0.032
UKB_WCSG,0.796 ± 0.033,0.896 ± 0.028,0.831 ± 0.031,0.912 ± 0.029,0.865 ± 0.029
CYTOSNP,0.860 ± 0.039,0.896 ± 0.032,0.848 ± 0.037,0.886 ± 0.033,0.863 ± 0.035
PMRA,0.853 ± 0.031,0.891 ± 0.029,0.854 ± 0.033,0.882 ± 0.031,0.848 ± 0.030
PMDA,0.869 ± 0.023,0.906 ± 0.020,0.843 ± 0.021,0.900 ± 0.021,0.864 ± 0.022
OMNI2.5,0.915 ± 0.033,0.926 ± 0.029,0.888 ± 0.033,0.921 ± 0.030,0.901 ± 0.031
OMNI5,0.927 ± 0.030,0.944 ± 0.026,0.902 ± 0.029,0.948 ± 0.026,0.921 ± 0.027
LPS_0.5,0.913 ± 0.039,0.918 ± 0.037,0.883 ± 0.040,0.909 ± 0.039,0.897 ± 0.038
LPS_0.75,0.923 ± 0.039,0.927 ± 0.038,0.899 ± 0.040,0.920 ± 0.039,0.910 ± 0.038
LPS_1.0,0.932 ± 0.038,0.934 ± 0.037,0.910 ± 0.039,0.929 ± 0.038,0.920 ± 0.037
LPS_1.25,0.937 ± 0.037,0.939 ± 0.035,0.918 ± 0.038,0.934 ± 0.037,0.927 ± 0.036
LPS_1.5,0.940 ± 0.035,0.942 ± 0.034,0.924 ± 0.036,0.939 ± 0.035,0.931 ± 0.035
LPS_2.0,0.946 ± 0.034,0.948 ± 0.032,0.932 ± 0.035,0.944 ± 0.034,0.938 ± 0.033
