Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.960 ± 0.003,0.986 ± 0.003,0.960 ± 0.016,0.983 ± 0.005,0.976 ± 0.008
JAPONICA,0.967 ± 0.004,0.990 ± 0.002,0.984 ± 0.004,0.988 ± 0.003,0.982 ± 0.003
UKB_WCSG,0.962 ± 0.003,0.991 ± 0.001,0.973 ± 0.012,0.992 ± 0.002,0.984 ± 0.004
CYTOSNP,0.985 ± 0.001,0.995 ± 0.001,0.984 ± 0.003,0.993 ± 0.001,0.990 ± 0.003
PMRA,0.971 ± 0.002,0.989 ± 0.002,0.970 ± 0.011,0.987 ± 0.004,0.977 ± 0.005
PMDA,0.973 ± 0.003,0.990 ± 0.002,0.968 ± 0.009,0.989 ± 0.002,0.980 ± 0.004
OMNI2.5,0.995 ± 0.000,0.998 ± 0.000,0.993 ± 0.001,0.998 ± 0.001,0.996 ± 0.001
OMNI5,0.996 ± 0.000,0.999 ± 0.000,0.995 ± 0.001,0.999 ± 0.000,0.997 ± 0.001
LPS_0.5,0.984 ± 0.002,0.989 ± 0.001,0.972 ± 0.007,0.987 ± 0.002,0.982 ± 0.001
LPS_0.75,0.988 ± 0.001,0.992 ± 0.001,0.981 ± 0.004,0.990 ± 0.001,0.986 ± 0.002
LPS_1.0,0.991 ± 0.001,0.994 ± 0.001,0.985 ± 0.004,0.992 ± 0.001,0.989 ± 0.001
LPS_1.25,0.992 ± 0.001,0.995 ± 0.001,0.987 ± 0.002,0.993 ± 0.001,0.992 ± 0.001
LPS_1.5,0.993 ± 0.001,0.996 ± 0.001,0.989 ± 0.003,0.994 ± 0.001,0.992 ± 0.001
LPS_2.0,0.994 ± 0.001,0.996 ± 0.001,0.992 ± 0.003,0.995 ± 0.001,0.993 ± 0.001
