Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.947 ± 0.002,0.983 ± 0.001,0.963 ± 0.001,0.986 ± 0.001,0.972 ± 0.002
JAPONICA,0.961 ± 0.002,0.986 ± 0.001,0.984 ± 0.001,0.988 ± 0.002,0.982 ± 0.001
UKB_WCSG,0.956 ± 0.001,0.992 ± 0.000,0.976 ± 0.002,0.995 ± 0.000,0.987 ± 0.001
CYTOSNP,0.983 ± 0.002,0.993 ± 0.001,0.988 ± 0.002,0.994 ± 0.000,0.990 ± 0.002
PMRA,0.964 ± 0.002,0.986 ± 0.002,0.975 ± 0.001,0.989 ± 0.001,0.980 ± 0.002
PMDA,0.970 ± 0.001,0.987 ± 0.001,0.971 ± 0.002,0.991 ± 0.001,0.982 ± 0.001
OMNI2.5,0.995 ± 0.000,0.997 ± 0.000,0.995 ± 0.000,0.998 ± 0.000,0.996 ± 0.001
OMNI5,0.996 ± 0.000,0.999 ± 0.000,0.997 ± 0.000,0.999 ± 0.000,0.998 ± 0.000
LPS_0.5,0.981 ± 0.001,0.987 ± 0.002,0.974 ± 0.003,0.990 ± 0.001,0.981 ± 0.002
LPS_0.75,0.984 ± 0.001,0.990 ± 0.000,0.980 ± 0.001,0.993 ± 0.000,0.986 ± 0.001
LPS_1.0,0.987 ± 0.001,0.992 ± 0.000,0.984 ± 0.002,0.994 ± 0.001,0.989 ± 0.001
LPS_1.25,0.989 ± 0.001,0.993 ± 0.000,0.987 ± 0.001,0.995 ± 0.000,0.990 ± 0.001
LPS_1.5,0.990 ± 0.001,0.994 ± 0.000,0.989 ± 0.001,0.996 ± 0.001,0.991 ± 0.001
LPS_2.0,0.992 ± 0.001,0.995 ± 0.000,0.990 ± 0.001,0.996 ± 0.000,0.993 ± 0.000
