trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,6.585 ± 6.475,3.590 ± 3.628,5.691 ± 5.234,4.071 ± 3.395,4.478 ± 3.978
BMI,JAPONICA,5.708 ± 5.332,3.205 ± 3.000,3.574 ± 3.160,3.227 ± 2.951,3.561 ± 3.031
BMI,UKB_WCSG,5.966 ± 5.457,3.099 ± 2.871,4.970 ± 4.511,2.519 ± 2.152,3.499 ± 3.050
BMI,CYTOSNP,3.612 ± 3.526,2.119 ± 2.038,3.456 ± 3.258,2.305 ± 2.149,2.598 ± 2.472
BMI,PMRA,5.226 ± 4.658,3.689 ± 3.393,5.041 ± 4.662,3.351 ± 3.105,4.054 ± 3.549
BMI,PMDA,5.428 ± 5.002,3.142 ± 2.920,5.254 ± 4.788,2.916 ± 2.589,4.038 ± 3.614
BMI,OMNI2.5,2.234 ± 2.201,1.732 ± 1.673,2.056 ± 2.007,1.490 ± 1.426,1.712 ± 1.694
BMI,OMNI5,1.790 ± 1.836,1.351 ± 1.523,1.781 ± 1.681,1.079 ± 1.107,1.393 ± 1.322
BMI,LPS_0.5,3.743 ± 3.477,2.941 ± 2.614,4.454 ± 4.214,2.866 ± 2.523,3.370 ± 2.968
BMI,LPS_0.75,3.407 ± 3.376,2.496 ± 2.309,3.697 ± 3.505,2.623 ± 2.445,3.060 ± 2.789
BMI,LPS_1.0,2.855 ± 2.649,2.270 ± 2.252,3.412 ± 3.130,2.301 ± 2.168,2.633 ± 2.430
BMI,LPS_1.25,2.708 ± 2.765,2.086 ± 1.825,3.057 ± 2.991,1.981 ± 1.902,2.481 ± 2.155
BMI,LPS_1.5,2.661 ± 2.532,1.960 ± 1.824,2.668 ± 2.564,1.750 ± 1.680,2.246 ± 2.115
BMI,LPS_2.0,2.224 ± 2.220,1.810 ± 1.743,2.525 ± 2.374,1.658 ± 1.596,2.141 ± 2.032
DIABETES,GSA,6.534 ± 6.318,3.570 ± 3.000,4.849 ± 4.549,3.569 ± 3.282,3.988 ± 3.656
DIABETES,JAPONICA,6.052 ± 5.813,2.830 ± 2.921,3.540 ± 3.221,2.962 ± 2.958,3.753 ± 3.383
DIABETES,UKB_WCSG,6.887 ± 6.303,2.782 ± 2.732,3.936 ± 3.570,2.400 ± 2.524,3.277 ± 3.097
DIABETES,CYTOSNP,4.022 ± 3.926,2.102 ± 2.104,3.607 ± 3.490,2.126 ± 2.459,2.407 ± 2.628
DIABETES,PMRA,5.588 ± 5.222,3.107 ± 2.991,4.304 ± 4.076,2.990 ± 2.975,4.094 ± 3.827
DIABETES,PMDA,5.662 ± 5.436,2.864 ± 2.644,4.910 ± 4.643,2.860 ± 2.957,3.917 ± 3.701
DIABETES,OMNI2.5,2.236 ± 2.416,1.504 ± 1.664,2.466 ± 2.685,1.164 ± 1.584,1.648 ± 1.859
DIABETES,OMNI5,1.908 ± 2.167,0.992 ± 1.256,2.075 ± 2.333,0.924 ± 1.379,1.320 ± 1.596
DIABETES,LPS_0.5,4.403 ± 4.289,3.298 ± 3.128,4.601 ± 4.427,3.510 ± 3.393,4.203 ± 3.906
DIABETES,LPS_0.75,3.561 ± 3.373,2.605 ± 2.418,4.001 ± 3.771,2.957 ± 2.787,3.466 ± 3.150
DIABETES,LPS_1.0,3.349 ± 3.342,2.443 ± 2.355,3.385 ± 3.212,2.948 ± 2.904,3.131 ± 2.729
DIABETES,LPS_1.25,2.916 ± 2.794,2.150 ± 1.984,3.241 ± 3.164,2.564 ± 2.595,2.758 ± 2.825
DIABETES,LPS_1.5,2.823 ± 2.671,2.130 ± 2.058,3.086 ± 2.757,2.517 ± 2.632,2.579 ± 2.290
DIABETES,LPS_2.0,2.477 ± 2.354,1.966 ± 1.839,2.262 ± 2.228,2.337 ± 2.274,2.620 ± 2.410
HEIGHT,GSA,7.290 ± 6.511,4.188 ± 4.028,5.950 ± 5.306,3.993 ± 3.836,5.371 ± 4.748
HEIGHT,JAPONICA,6.572 ± 5.859,4.042 ± 3.982,3.842 ± 3.562,3.761 ± 3.481,4.373 ± 3.916
HEIGHT,UKB_WCSG,6.681 ± 5.888,3.120 ± 2.584,4.779 ± 4.291,2.281 ± 2.196,3.411 ± 3.080
HEIGHT,CYTOSNP,4.045 ± 3.695,2.632 ± 2.462,3.366 ± 2.914,2.724 ± 2.522,3.033 ± 2.850
HEIGHT,PMRA,5.938 ± 5.451,3.500 ± 3.185,4.952 ± 4.344,3.617 ± 3.116,4.441 ± 4.078
HEIGHT,PMDA,5.731 ± 5.233,3.943 ± 3.647,5.373 ± 4.887,3.331 ± 3.052,4.414 ± 4.034
HEIGHT,OMNI2.5,2.333 ± 2.268,1.717 ± 1.664,2.232 ± 1.985,1.579 ± 1.521,2.000 ± 1.924
