trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.107 ± 6.484,3.898 ± 3.463,5.900 ± 5.003,4.246 ± 3.840,4.560 ± 4.194
BMI,JAPONICA,6.036 ± 5.396,3.163 ± 2.837,3.676 ± 3.172,3.645 ± 3.482,3.802 ± 3.367
BMI,UKB_WCSG,6.271 ± 5.694,3.167 ± 2.740,4.802 ± 4.052,2.881 ± 2.695,3.498 ± 3.087
BMI,CYTOSNP,3.924 ± 3.653,2.289 ± 2.253,3.490 ± 3.105,2.641 ± 2.424,2.823 ± 2.560
BMI,PMRA,5.651 ± 5.050,3.547 ± 3.136,4.942 ± 4.372,3.849 ± 3.421,4.352 ± 4.111
BMI,PMDA,5.470 ± 4.957,3.110 ± 2.766,5.132 ± 4.545,3.550 ± 3.271,4.288 ± 3.889
BMI,OMNI2.5,2.397 ± 2.217,1.666 ± 1.526,2.061 ± 2.058,1.604 ± 1.635,1.634 ± 1.459
BMI,OMNI5,1.876 ± 1.777,1.221 ± 1.172,1.701 ± 1.595,1.102 ± 1.044,1.477 ± 1.379
BMI,LPS_0.5,3.922 ± 3.428,3.021 ± 2.740,4.475 ± 3.982,3.381 ± 3.140,3.668 ± 3.220
BMI,LPS_0.75,3.355 ± 3.050,2.472 ± 2.070,3.880 ± 3.437,2.858 ± 2.627,3.283 ± 2.964
BMI,LPS_1.0,3.144 ± 2.868,2.107 ± 1.878,3.566 ± 3.330,2.615 ± 2.501,2.816 ± 2.568
BMI,LPS_1.25,2.895 ± 2.727,2.003 ± 1.817,3.245 ± 2.952,2.369 ± 2.223,2.730 ± 2.289
BMI,LPS_1.5,2.723 ± 2.469,1.883 ± 1.780,2.836 ± 2.769,1.956 ± 1.872,2.393 ± 2.175
BMI,LPS_2.0,2.430 ± 2.279,1.752 ± 1.591,2.527 ± 2.188,1.898 ± 1.759,2.187 ± 1.937
DIABETES,GSA,6.755 ± 5.928,3.315 ± 3.284,6.001 ± 5.758,3.918 ± 3.569,4.918 ± 4.598
DIABETES,JAPONICA,5.815 ± 5.265,2.806 ± 2.588,3.830 ± 3.660,3.279 ± 3.050,3.973 ± 3.585
DIABETES,UKB_WCSG,6.041 ± 5.379,2.889 ± 2.652,4.434 ± 3.969,2.812 ± 2.935,3.811 ± 3.447
DIABETES,CYTOSNP,4.000 ± 3.652,2.163 ± 2.149,3.536 ± 3.437,2.358 ± 2.324,2.863 ± 2.791
DIABETES,PMRA,5.548 ± 5.077,3.043 ± 2.593,5.219 ± 5.015,3.650 ± 3.511,4.559 ± 4.047
DIABETES,PMDA,5.315 ± 4.804,3.135 ± 2.645,5.053 ± 4.684,3.328 ± 3.131,4.624 ± 4.157
DIABETES,OMNI2.5,2.245 ± 2.055,1.616 ± 1.574,2.492 ± 2.438,1.390 ± 1.416,1.846 ± 1.894
DIABETES,OMNI5,1.960 ± 1.901,1.228 ± 1.138,2.066 ± 1.995,1.152 ± 1.240,1.483 ± 1.386
DIABETES,LPS_0.5,3.943 ± 3.688,3.041 ± 2.781,4.854 ± 4.568,3.499 ± 3.282,4.193 ± 3.484
DIABETES,LPS_0.75,3.099 ± 2.927,2.771 ± 2.248,4.134 ± 3.827,3.080 ± 2.865,3.471 ± 3.142
