trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.680 ± 6.987,4.621 ± 3.999,7.455 ± 6.995,5.459 ± 4.807,6.070 ± 5.291
BMI,JAPONICA,6.778 ± 6.574,4.216 ± 3.847,4.780 ± 4.145,4.626 ± 4.221,4.796 ± 4.313
BMI,UKB_WCSG,7.424 ± 6.814,3.223 ± 2.839,6.005 ± 5.499,3.108 ± 2.960,4.287 ± 3.686
BMI,CYTOSNP,4.642 ± 4.570,2.998 ± 2.653,4.960 ± 3.964,3.839 ± 3.315,4.107 ± 3.566
BMI,PMRA,6.681 ± 6.432,3.981 ± 3.372,6.369 ± 6.270,4.905 ± 4.575,5.586 ± 4.901
BMI,PMDA,6.249 ± 5.923,3.793 ± 3.259,6.290 ± 5.728,4.410 ± 4.161,5.119 ± 4.275
BMI,OMNI2.5,2.494 ± 2.414,1.916 ± 1.620,2.945 ± 2.554,2.148 ± 2.063,2.457 ± 2.119
BMI,OMNI5,2.125 ± 1.998,1.361 ± 1.260,2.133 ± 1.898,1.360 ± 1.371,1.673 ± 1.482
BMI,LPS_0.5,5.090 ± 4.938,3.899 ± 3.350,6.190 ± 5.476,4.605 ± 4.251,5.016 ± 4.404
BMI,LPS_0.75,4.262 ± 4.181,3.547 ± 3.106,5.680 ± 5.068,3.786 ± 3.322,4.238 ± 3.727
BMI,LPS_1.0,3.920 ± 3.637,2.855 ± 2.576,4.829 ± 4.183,3.416 ± 3.096,3.687 ± 3.340
BMI,LPS_1.25,3.613 ± 3.498,2.790 ± 2.477,4.293 ± 3.825,3.156 ± 3.104,3.350 ± 3.079
BMI,LPS_1.5,3.305 ± 3.225,2.536 ± 2.214,3.871 ± 3.498,2.785 ± 2.541,3.303 ± 3.019
BMI,LPS_2.0,2.996 ± 2.757,2.404 ± 2.115,3.596 ± 2.968,2.545 ± 2.166,2.911 ± 2.506
DIABETES,GSA,7.397 ± 6.849,4.111 ± 3.654,7.841 ± 7.319,4.528 ± 4.122,5.634 ± 4.951
DIABETES,JAPONICA,6.614 ± 6.274,3.741 ± 3.444,4.811 ± 4.371,4.083 ± 3.897,4.892 ± 4.315
DIABETES,UKB_WCSG,7.208 ± 6.785,3.246 ± 2.997,6.603 ± 5.897,3.073 ± 2.841,4.527 ± 4.262
DIABETES,CYTOSNP,4.716 ± 4.501,2.568 ± 2.380,4.670 ± 4.130,2.746 ± 2.425,3.740 ± 3.467
DIABETES,PMRA,6.456 ± 5.851,3.922 ± 3.765,6.765 ± 5.830,4.130 ± 3.660,5.565 ± 4.967
DIABETES,PMDA,5.923 ± 5.657,3.634 ± 3.138,6.602 ± 5.851,3.657 ± 3.222,4.790 ± 4.573
DIABETES,OMNI2.5,2.627 ± 2.404,1.664 ± 1.519,3.058 ± 2.707,1.749 ± 1.665,2.348 ± 2.211
DIABETES,OMNI5,2.232 ± 2.125,1.242 ± 1.247,2.458 ± 2.231,1.271 ± 1.198,2.001 ± 1.924
