trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.692 ± 7.002,4.600 ± 4.081,7.153 ± 6.678,5.209 ± 4.644,5.891 ± 5.097
BMI,JAPONICA,6.737 ± 6.455,4.092 ± 3.782,4.606 ± 3.966,4.574 ± 4.069,4.984 ± 4.235
BMI,UKB_WCSG,7.384 ± 6.865,3.292 ± 2.857,6.106 ± 5.374,3.111 ± 2.922,4.151 ± 3.559
BMI,CYTOSNP,4.599 ± 4.478,2.982 ± 2.695,4.612 ± 3.864,3.694 ± 3.321,4.175 ± 3.501
BMI,PMRA,6.685 ± 6.329,4.028 ± 3.565,6.280 ± 5.949,4.781 ± 4.235,5.601 ± 4.994
BMI,PMDA,6.319 ± 5.911,3.741 ± 3.180,6.054 ± 5.542,4.443 ± 4.016,5.020 ± 4.165
BMI,OMNI2.5,2.621 ± 2.546,1.951 ± 1.647,2.893 ± 2.446,2.042 ± 1.908,2.437 ± 2.027
BMI,OMNI5,2.106 ± 1.994,1.290 ± 1.116,2.078 ± 1.862,1.368 ± 1.289,1.622 ± 1.468
BMI,LPS_0.5,5.084 ± 5.093,3.858 ± 3.362,5.795 ± 5.140,4.525 ± 4.062,4.777 ± 4.239
BMI,LPS_0.75,4.195 ± 4.008,3.459 ± 3.185,5.443 ± 4.839,3.708 ± 3.216,4.219 ± 3.742
BMI,LPS_1.0,3.773 ± 3.561,2.802 ± 2.468,4.598 ± 4.042,3.222 ± 2.984,3.699 ± 3.216
BMI,LPS_1.25,3.526 ± 3.244,2.780 ± 2.367,4.224 ± 3.915,3.179 ± 2.870,3.245 ± 3.010
BMI,LPS_1.5,3.198 ± 3.080,2.486 ± 2.311,3.762 ± 3.305,2.731 ± 2.578,3.289 ± 2.947
BMI,LPS_2.0,2.875 ± 2.642,2.334 ± 2.083,3.435 ± 2.923,2.396 ± 2.004,2.896 ± 2.466
DIABETES,GSA,7.466 ± 7.119,4.339 ± 3.966,7.723 ± 7.070,4.731 ± 4.380,5.692 ± 5.135
DIABETES,JAPONICA,6.611 ± 6.375,3.402 ± 2.945,4.416 ± 4.216,3.903 ± 3.584,4.598 ± 4.211
DIABETES,UKB_WCSG,7.000 ± 6.852,3.101 ± 2.843,6.441 ± 5.506,3.069 ± 2.769,4.558 ± 4.350
DIABETES,CYTOSNP,4.712 ± 4.752,2.407 ± 2.308,4.413 ± 3.989,2.779 ± 2.450,3.645 ± 3.373
DIABETES,PMRA,6.234 ± 5.796,3.682 ± 3.587,6.444 ± 5.648,3.996 ± 3.721,5.417 ± 4.928
DIABETES,PMDA,5.764 ± 5.489,3.384 ± 3.053,6.211 ± 5.688,3.543 ± 3.112,4.756 ± 4.515
DIABETES,OMNI2.5,2.513 ± 2.318,1.525 ± 1.471,2.970 ± 2.596,1.732 ± 1.585,2.313 ± 2.126
DIABETES,OMNI5,2.330 ± 2.189,1.238 ± 1.161,2.398 ± 2.185,1.307 ± 1.233,1.951 ± 1.809
DIABETES,LPS_0.5,4.583 ± 4.432,3.497 ± 3.119,5.887 ± 4.984,3.852 ± 3.482,4.501 ± 4.122
DIABETES,LPS_0.75,3.989 ± 3.944,3.186 ± 2.855,4.757 ± 4.274,3.262 ± 2.859,4.079 ± 3.709
DIABETES,LPS_1.0,3.738 ± 3.401,2.440 ± 2.310,4.353 ± 4.184,2.852 ± 2.677,3.359 ± 3.007
DIABETES,LPS_1.25,3.399 ± 3.381,2.457 ± 2.177,3.832 ± 3.351,2.652 ± 2.342,3.004 ± 2.691
DIABETES,LPS_1.5,3.404 ± 3.248,1.910 ± 2.036,3.693 ± 3.262,2.605 ± 2.300,3.080 ± 2.687
DIABETES,LPS_2.0,2.804 ± 2.833,2.035 ± 1.877,3.320 ± 2.974,2.227 ± 1.986,2.652 ± 2.483
HEIGHT,GSA,7.859 ± 6.971,4.039 ± 3.540,5.945 ± 5.191,3.624 ± 3.221,5.846 ± 5.293
