array,AFR,AMR,EAS,EUR,SAS
GSA,0.955 ± 0.002,0.985 ± 0.002,0.959 ± 0.010,0.982 ± 0.001,0.972 ± 0.005
JAPONICA,0.969 ± 0.001,0.990 ± 0.001,0.984 ± 0.003,0.985 ± 0.002,0.979 ± 0.003
UKB_WCSG,0.961 ± 0.002,0.992 ± 0.001,0.973 ± 0.007,0.992 ± 0.000,0.986 ± 0.001
CYTOSNP,0.987 ± 0.001,0.995 ± 0.000,0.988 ± 0.005,0.993 ± 0.002,0.990 ± 0.003
PMRA,0.971 ± 0.002,0.988 ± 0.001,0.969 ± 0.008,0.985 ± 0.002,0.978 ± 0.005
PMDA,0.974 ± 0.003,0.991 ± 0.001,0.970 ± 0.008,0.988 ± 0.002,0.980 ± 0.003
OMNI2.5,0.995 ± 0.000,0.997 ± 0.000,0.994 ± 0.001,0.997 ± 0.000,0.996 ± 0.001
OMNI5,0.997 ± 0.000,0.999 ± 0.000,0.997 ± 0.001,0.999 ± 0.000,0.998 ± 0.000
LPS_0.5,0.986 ± 0.001,0.991 ± 0.000,0.975 ± 0.008,0.988 ± 0.003,0.982 ± 0.006
LPS_0.75,0.988 ± 0.001,0.994 ± 0.000,0.982 ± 0.007,0.991 ± 0.002,0.987 ± 0.004
LPS_1.0,0.991 ± 0.001,0.995 ± 0.000,0.986 ± 0.005,0.993 ± 0.002,0.990 ± 0.003
LPS_1.25,0.993 ± 0.001,0.996 ± 0.000,0.989 ± 0.004,0.994 ± 0.001,0.991 ± 0.003
LPS_1.5,0.994 ± 0.000,0.996 ± 0.001,0.990 ± 0.004,0.995 ± 0.001,0.993 ± 0.003
LPS_2.0,0.995 ± 0.000,0.997 ± 0.000,0.993 ± 0.003,0.996 ± 0.001,0.994 ± 0.002
