trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.676 ± 7.077,4.646 ± 4.127,7.376 ± 6.985,5.465 ± 4.926,6.040 ± 5.275
BMI,JAPONICA,6.841 ± 6.526,4.246 ± 3.885,4.814 ± 4.203,4.577 ± 4.154,4.825 ± 4.247
BMI,UKB_WCSG,7.428 ± 6.868,3.273 ± 2.837,6.004 ± 5.517,3.101 ± 2.944,4.177 ± 3.757
BMI,CYTOSNP,4.595 ± 4.501,3.123 ± 2.714,4.858 ± 3.983,3.849 ± 3.380,4.185 ± 3.526
BMI,PMRA,6.674 ± 6.343,4.077 ± 3.465,6.394 ± 6.292,4.931 ± 4.598,5.591 ± 4.970
BMI,PMDA,6.317 ± 5.951,3.888 ± 3.256,6.354 ± 5.697,4.441 ± 4.161,4.995 ± 4.248
BMI,OMNI2.5,2.521 ± 2.458,2.034 ± 1.638,2.869 ± 2.556,2.166 ± 2.084,2.378 ± 2.128
BMI,OMNI5,2.116 ± 2.005,1.391 ± 1.195,2.125 ± 1.885,1.387 ± 1.368,1.625 ± 1.483
BMI,LPS_0.5,5.132 ± 4.949,4.070 ± 3.490,6.187 ± 5.419,4.636 ± 4.284,4.945 ± 4.424
BMI,LPS_0.75,4.244 ± 4.143,3.623 ± 3.060,5.615 ± 5.113,3.759 ± 3.347,4.325 ± 3.728
BMI,LPS_1.0,3.790 ± 3.575,2.847 ± 2.623,4.805 ± 4.149,3.388 ± 3.142,3.635 ± 3.340
BMI,LPS_1.25,3.561 ± 3.426,2.844 ± 2.411,4.284 ± 3.861,3.193 ± 3.071,3.309 ± 3.061
BMI,LPS_1.5,3.230 ± 3.165,2.492 ± 2.319,3.803 ± 3.516,2.799 ± 2.527,3.270 ± 2.978
BMI,LPS_2.0,2.964 ± 2.720,2.406 ± 2.145,3.649 ± 2.999,2.534 ± 2.189,2.840 ± 2.531
DIABETES,GSA,7.353 ± 6.740,4.171 ± 3.753,7.812 ± 7.232,4.505 ± 4.066,5.696 ± 4.995
DIABETES,JAPONICA,6.602 ± 6.280,3.628 ± 3.274,4.719 ± 4.412,4.044 ± 3.832,4.839 ± 4.358
DIABETES,UKB_WCSG,7.083 ± 6.681,3.146 ± 2.885,6.622 ± 5.938,3.066 ± 2.763,4.524 ± 4.274
DIABETES,CYTOSNP,4.642 ± 4.485,2.470 ± 2.255,4.518 ± 4.015,2.755 ± 2.338,3.762 ± 3.589
DIABETES,PMRA,6.412 ± 5.816,3.971 ± 3.790,6.679 ± 5.833,4.056 ± 3.679,5.657 ± 4.969
DIABETES,PMDA,5.902 ± 5.620,3.636 ± 3.118,6.674 ± 5.829,3.721 ± 3.207,4.774 ± 4.655
