trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,6.238 ± 5.600,3.508 ± 3.273,5.556 ± 5.350,3.860 ± 3.346,4.124 ± 3.773
BMI,JAPONICA,5.442 ± 4.932,3.030 ± 2.685,3.723 ± 3.493,3.126 ± 2.801,3.323 ± 3.006
BMI,UKB_WCSG,5.943 ± 5.295,2.918 ± 2.786,4.965 ± 4.503,2.639 ± 2.332,3.434 ± 3.077
BMI,CYTOSNP,3.490 ± 3.478,2.041 ± 1.945,3.430 ± 3.191,2.057 ± 1.951,2.452 ± 2.212
BMI,PMRA,5.108 ± 4.590,3.211 ± 2.978,5.002 ± 4.960,3.103 ± 3.016,4.006 ± 3.640
BMI,PMDA,5.334 ± 4.683,3.077 ± 2.769,5.050 ± 5.027,2.890 ± 2.575,3.972 ± 3.570
BMI,OMNI2.5,2.133 ± 2.136,1.525 ± 1.515,2.105 ± 2.112,1.424 ± 1.360,1.590 ± 1.553
BMI,OMNI5,1.709 ± 1.745,1.227 ± 1.302,1.843 ± 1.800,1.046 ± 1.148,1.264 ± 1.294
BMI,LPS_0.5,3.799 ± 3.634,2.810 ± 2.552,4.573 ± 4.329,2.967 ± 2.714,3.220 ± 2.850
BMI,LPS_0.75,3.369 ± 3.306,2.314 ± 2.150,3.606 ± 3.406,2.542 ± 2.408,2.883 ± 2.576
BMI,LPS_1.0,2.802 ± 2.581,2.025 ± 1.938,3.474 ± 3.107,2.400 ± 2.311,2.647 ± 2.398
BMI,LPS_1.25,2.736 ± 2.806,1.946 ± 1.657,3.059 ± 2.910,2.229 ± 2.145,2.429 ± 2.302
BMI,LPS_1.5,2.554 ± 2.462,1.808 ± 1.664,2.800 ± 2.615,1.786 ± 1.706,2.143 ± 1.888
BMI,LPS_2.0,2.205 ± 2.131,1.614 ± 1.472,2.482 ± 2.351,1.556 ± 1.462,2.082 ± 1.872
DIABETES,GSA,5.785 ± 5.322,3.219 ± 3.201,4.330 ± 3.956,2.932 ± 2.903,3.551 ± 3.538
DIABETES,JAPONICA,5.557 ± 5.429,2.634 ± 2.818,3.338 ± 3.078,2.649 ± 2.642,3.637 ± 3.432
DIABETES,UKB_WCSG,6.265 ± 6.166,2.733 ± 2.958,3.564 ± 3.280,2.182 ± 2.329,2.861 ± 3.009
DIABETES,CYTOSNP,3.736 ± 3.600,2.334 ± 2.384,3.475 ± 3.394,2.101 ± 2.671,2.352 ± 2.825
DIABETES,PMRA,5.535 ± 5.223,2.775 ± 3.142,4.174 ± 3.853,2.630 ± 2.782,3.890 ± 3.674
