trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.310 ± 6.490,4.021 ± 3.617,6.067 ± 5.287,4.665 ± 4.316,4.811 ± 4.265
BMI,JAPONICA,5.903 ± 5.408,3.347 ± 3.292,3.813 ± 3.383,4.007 ± 3.626,4.177 ± 3.789
BMI,UKB_WCSG,6.370 ± 5.767,3.526 ± 3.340,5.400 ± 4.544,2.901 ± 2.677,3.579 ± 3.405
BMI,CYTOSNP,4.024 ± 3.794,2.637 ± 2.512,3.854 ± 3.516,2.960 ± 2.817,3.029 ± 2.596
BMI,PMRA,5.806 ± 5.098,3.802 ± 3.464,5.267 ± 4.947,3.993 ± 3.416,4.718 ± 4.325
BMI,PMDA,5.723 ± 5.277,3.398 ± 3.456,5.694 ± 4.759,3.659 ± 3.351,4.473 ± 4.001
BMI,OMNI2.5,2.512 ± 2.251,1.850 ± 1.876,2.475 ± 2.189,1.655 ± 1.742,1.808 ± 1.579
BMI,OMNI5,2.105 ± 1.854,1.319 ± 1.263,1.844 ± 1.752,1.117 ± 1.113,1.462 ± 1.302
BMI,LPS_0.5,4.061 ± 3.549,3.318 ± 3.329,4.827 ± 4.267,3.739 ± 3.275,3.993 ± 3.484
BMI,LPS_0.75,3.664 ± 3.206,2.627 ± 2.341,4.289 ± 3.625,3.098 ± 2.897,3.461 ± 3.089
BMI,LPS_1.0,3.352 ± 3.037,2.496 ± 2.287,4.027 ± 3.617,2.749 ± 2.637,3.021 ± 2.705
BMI,LPS_1.25,3.066 ± 2.828,2.310 ± 2.223,3.562 ± 3.071,2.581 ± 2.333,2.764 ± 2.441
BMI,LPS_1.5,2.916 ± 2.483,2.195 ± 2.259,3.192 ± 2.831,2.243 ± 2.060,2.523 ± 2.230
BMI,LPS_2.0,2.471 ± 2.294,1.944 ± 2.115,2.752 ± 2.291,2.051 ± 1.923,2.308 ± 2.054
DIABETES,GSA,6.997 ± 6.069,3.889 ± 3.735,6.354 ± 5.472,4.794 ± 4.359,5.108 ± 4.707
DIABETES,JAPONICA,6.390 ± 5.696,2.943 ± 2.700,3.924 ± 3.718,3.583 ± 3.220,4.355 ± 3.703
DIABETES,UKB_WCSG,6.287 ± 5.542,3.115 ± 2.824,4.913 ± 4.353,3.033 ± 2.980,4.248 ± 3.795
DIABETES,CYTOSNP,4.211 ± 3.972,2.229 ± 2.089,3.847 ± 3.770,2.793 ± 2.594,3.273 ± 2.873
DIABETES,PMRA,5.878 ± 5.251,3.272 ± 2.912,5.161 ± 4.835,3.751 ± 3.578,5.065 ± 4.403
DIABETES,PMDA,5.514 ± 4.818,3.282 ± 2.891,5.382 ± 4.839,3.432 ± 3.456,4.651 ± 4.204
DIABETES,OMNI2.5,2.414 ± 2.342,1.521 ± 1.525,2.502 ± 2.461,1.685 ± 1.584,2.096 ± 1.990
DIABETES,OMNI5,2.139 ± 2.106,1.195 ± 1.096,2.037 ± 2.083,1.304 ± 1.279,1.682 ± 1.579
DIABETES,LPS_0.5,4.200 ± 3.845,2.891 ± 2.396,4.693 ± 4.149,3.527 ± 3.381,4.344 ± 3.763
