Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.478 ± 0.051,0.629 ± 0.053,0.321 ± 0.046,0.471 ± 0.052,0.400 ± 0.045
JAPONICA,0.518 ± 0.048,0.658 ± 0.047,0.368 ± 0.048,0.497 ± 0.048,0.423 ± 0.044
UKB_WCSG,0.517 ± 0.040,0.669 ± 0.041,0.353 ± 0.038,0.528 ± 0.044,0.443 ± 0.039
CYTOSNP,0.567 ± 0.048,0.698 ± 0.045,0.366 ± 0.043,0.526 ± 0.044,0.428 ± 0.039
PMRA,0.536 ± 0.042,0.689 ± 0.041,0.364 ± 0.041,0.509 ± 0.042,0.417 ± 0.040
PMDA,0.551 ± 0.031,0.705 ± 0.030,0.351 ± 0.027,0.528 ± 0.031,0.425 ± 0.029
OMNI2.5,0.648 ± 0.048,0.760 ± 0.044,0.429 ± 0.045,0.592 ± 0.046,0.499 ± 0.043
OMNI5,0.682 ± 0.046,0.800 ± 0.044,0.461 ± 0.045,0.664 ± 0.047,0.564 ± 0.044
LPS_0.5,0.691 ± 0.051,0.785 ± 0.047,0.492 ± 0.049,0.633 ± 0.050,0.562 ± 0.048
LPS_0.75,0.715 ± 0.051,0.806 ± 0.047,0.528 ± 0.050,0.661 ± 0.051,0.598 ± 0.049
LPS_1.0,0.734 ± 0.050,0.821 ± 0.046,0.558 ± 0.050,0.686 ± 0.050,0.627 ± 0.048
LPS_1.25,0.748 ± 0.049,0.832 ± 0.045,0.581 ± 0.049,0.703 ± 0.049,0.650 ± 0.047
LPS_1.5,0.759 ± 0.048,0.841 ± 0.044,0.599 ± 0.048,0.717 ± 0.048,0.668 ± 0.047
LPS_2.0,0.776 ± 0.046,0.854 ± 0.042,0.629 ± 0.047,0.739 ± 0.047,0.696 ± 0.046
