Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.826 ± 0.040,0.914 ± 0.031,0.882 ± 0.035,0.910 ± 0.031,0.893 ± 0.035
JAPONICA,0.861 ± 0.031,0.938 ± 0.022,0.935 ± 0.023,0.934 ± 0.021,0.927 ± 0.024
UKB_WCSG,0.856 ± 0.027,0.941 ± 0.022,0.909 ± 0.024,0.949 ± 0.021,0.927 ± 0.025
CYTOSNP,0.908 ± 0.031,0.944 ± 0.027,0.923 ± 0.031,0.943 ± 0.025,0.932 ± 0.031
PMRA,0.897 ± 0.024,0.935 ± 0.023,0.914 ± 0.025,0.933 ± 0.022,0.918 ± 0.025
PMDA,0.909 ± 0.017,0.945 ± 0.016,0.916 ± 0.018,0.945 ± 0.016,0.929 ± 0.018
OMNI2.5,0.950 ± 0.025,0.962 ± 0.023,0.950 ± 0.025,0.963 ± 0.022,0.956 ± 0.026
OMNI5,0.959 ± 0.022,0.970 ± 0.020,0.960 ± 0.022,0.972 ± 0.019,0.966 ± 0.022
LPS_0.5,0.938 ± 0.035,0.947 ± 0.035,0.929 ± 0.037,0.945 ± 0.035,0.938 ± 0.037
LPS_0.75,0.947 ± 0.036,0.954 ± 0.036,0.940 ± 0.037,0.953 ± 0.036,0.947 ± 0.037
LPS_1.0,0.953 ± 0.034,0.959 ± 0.035,0.947 ± 0.037,0.958 ± 0.035,0.953 ± 0.036
LPS_1.25,0.957 ± 0.033,0.963 ± 0.033,0.953 ± 0.035,0.961 ± 0.034,0.957 ± 0.035
LPS_1.5,0.960 ± 0.032,0.965 ± 0.032,0.956 ± 0.034,0.964 ± 0.033,0.960 ± 0.034
LPS_2.0,0.965 ± 0.030,0.968 ± 0.030,0.961 ± 0.032,0.968 ± 0.031,0.965 ± 0.032
