Array/LPS,AFR,AMR,EAS,EUR,SAS
GSA,0.248 ± 0.041,0.489 ± 0.057,0.168 ± 0.033,0.307 ± 0.047,0.230 ± 0.035
JAPONICA,0.294 ± 0.041,0.527 ± 0.050,0.200 ± 0.036,0.343 ± 0.043,0.247 ± 0.036
UKB_WCSG,0.295 ± 0.031,0.538 ± 0.042,0.206 ± 0.028,0.369 ± 0.040,0.273 ± 0.030
CYTOSNP,0.364 ± 0.045,0.589 ± 0.048,0.222 ± 0.034,0.384 ± 0.039,0.259 ± 0.031
PMRA,0.318 ± 0.036,0.580 ± 0.042,0.214 ± 0.030,0.364 ± 0.036,0.251 ± 0.031
PMDA,0.331 ± 0.028,0.597 ± 0.030,0.208 ± 0.021,0.378 ± 0.027,0.256 ± 0.024
OMNI2.5,0.487 ± 0.049,0.678 ± 0.047,0.284 ± 0.037,0.464 ± 0.042,0.339 ± 0.037
OMNI5,0.538 ± 0.047,0.734 ± 0.046,0.319 ± 0.037,0.564 ± 0.046,0.425 ± 0.040
LPS_0.5,0.543 ± 0.058,0.705 ± 0.053,0.314 ± 0.044,0.496 ± 0.052,0.388 ± 0.047
LPS_0.75,0.581 ± 0.058,0.734 ± 0.052,0.355 ± 0.047,0.535 ± 0.053,0.436 ± 0.049
LPS_1.0,0.613 ± 0.057,0.755 ± 0.051,0.392 ± 0.048,0.570 ± 0.052,0.476 ± 0.049
LPS_1.25,0.634 ± 0.055,0.771 ± 0.050,0.422 ± 0.049,0.595 ± 0.052,0.508 ± 0.050
LPS_1.5,0.651 ± 0.054,0.783 ± 0.048,0.447 ± 0.049,0.615 ± 0.051,0.534 ± 0.050
LPS_2.0,0.679 ± 0.051,0.801 ± 0.047,0.491 ± 0.049,0.648 ± 0.050,0.575 ± 0.048
